6412550.704000,4970877.846000,156.470000
6413476.252000,4971541.634000,160.641000
6412537.262000,4970856.323000,158.805000
6412055.700000,4971353.070000,154.900000
6412621.572000,4970775.751000,157.410000
6412526.627000,4971888.404000,159.082000
6413476.271000,4971541.576000,160.200000
6412552.197000,4970874.030000,158.746000
6412507.878000,4971506.150000,156.529000
6412568.284000,4971900.224000,157.606000
6412574.714000,4971906.774000,157.581000
6412795.009000,4972045.185000,163.589000
6412928.969000,4970044.651000,130.000000
6412928.969000,4970044.651000,130.000000
6411925.672000,4969668.157000,119.241000
6411913.241000,4969583.077000,121.868000
6411918.150000,4969585.866000,122.391000
6411931.215000,4969578.537000,123.028000
6411933.926000,4969590.674000,122.941000
6411931.833000,4969551.798000,131.458000
6411929.452000,4969558.556000,131.471000
6411911.546000,4969552.259000,132.545000
6411913.108000,4969546.659000,133.220000
6411918.596000,4969552.372000,133.173000
6411925.414000,4969553.378000,133.286000
6411925.810000,4969548.498000,132.746000
6411928.463000,4969547.975000,133.171000
6411912.934000,4969546.778000,133.223000
6411912.595000,4969515.891000,133.325000
6411905.146000,4969498.332000,132.869000
6411907.435000,4969479.567000,133.430000
6411902.532000,4969467.016000,133.777000
6411901.994000,4969462.154000,133.851000
6411906.141000,4969457.660000,133.741000
6411897.737000,4969448.649000,132.946000
6411905.840000,4969441.891000,134.009000
6411916.209000,4969421.866000,134.603000
6411914.169000,4969416.299000,135.036000
6411924.875000,4969404.521000,135.026000
6411917.413000,4969457.708000,133.445000
6411916.815000,4969496.974000,133.526000
6411914.126000,4969507.830000,133.515000
6411915.117000,4969519.381000,133.328000
6411914.124000,4969527.226000,133.183000
6411932.390000,4969549.246000,131.409000
6411931.309000,4969546.370000,131.381000
6411927.485000,4969543.372000,131.384000
6411923.899000,4969548.503000,131.350000
6411919.058000,4969548.746000,131.254000
6411916.762000,4969539.816000,131.237000
6411919.193000,4969513.203000,131.231000
6411919.097000,4969492.186000,131.212000
6411923.028000,4969469.615000,131.495000
6411932.563000,4969413.071000,132.832000
6411922.644000,4969400.809000,133.854000
6412021.008000,4969329.972000,138.194000
6412035.195000,4969334.938000,137.949000
6412030.290000,4969346.766000,137.385000
6412019.233000,4969352.595000,137.051000
6412032.512000,4969367.010000,137.444000
6412033.962000,4969383.035000,137.383000
6412035.561000,4969428.919000,138.807000
6411904.614000,4969494.206000,131.249000
6411904.270000,4969482.799000,131.966000
6411901.124000,4969474.713000,131.765000
6411899.383000,4969465.975000,131.720000
6411897.570000,4969459.735000,131.634000
6411901.601000,4969502.562000,130.476000
6411905.049000,4969512.320000,130.580000
6411887.311000,4969678.550000,106.428000
6411895.998000,4969653.013000,108.495000
6411906.402000,4969628.025000,113.390000
6411943.849000,4969516.605000,128.660000
6411297.125000,4969396.584000,138.500000
6411263.841000,4969936.636000,154.500000
6413468.075000,4969809.526000,160.149000
6413460.221000,4969812.816000,159.673000
6413458.724000,4969803.156000,164.980000
6413459.793000,4969800.038000,165.125000
6413454.942000,4969799.562000,164.851000
6413453.942000,4969801.443000,164.581000
6413444.253000,4969796.967000,161.108000
6413441.987000,4969801.933000,160.327000
6413438.824000,4969800.352000,161.266000
6413429.120000,4969801.421000,161.430000
6413430.766000,4969806.599000,159.765000
6413427.296000,4969802.425000,159.952000
6413428.861000,4969798.751000,160.003000
6413445.511000,4969795.444000,160.304000
6413414.892000,4969800.713000,161.325000
6413406.706000,4969801.657000,161.516000
6413405.726000,4969799.984000,160.248000
6413393.493000,4969807.954000,159.983000
6413391.252000,4969803.568000,160.269000
6413367.856000,4969807.486000,161.612000
6413367.584000,4969811.086000,160.421000
6413350.227000,4969808.954000,160.287000
6413350.896000,4969810.494000,161.413000
6413334.879000,4969811.837000,160.384000
6413317.849000,4969817.629000,161.202000
6413300.418000,4969821.757000,161.233000
6413300.799000,4969823.201000,161.151000
6413300.662000,4969825.273000,160.072000
6413275.436000,4969828.950000,160.707000
6413275.454000,4969829.986000,160.785000
6413265.697000,4969829.832000,160.813000
6413265.873000,4969830.617000,160.809000
6413254.474000,4969832.502000,160.615000
6413250.313000,4969836.301000,158.927000
6413249.608000,4969832.183000,159.549000
6413248.294000,4969833.743000,160.562000
6413248.113000,4969835.196000,160.574000
6413237.973000,4969837.717000,160.835000
6413237.942000,4969838.898000,160.730000
6413232.248000,4969840.356000,160.851000
6413229.882000,4969838.875000,159.767000
6413217.835000,4969846.152000,161.003000
6413208.903000,4969848.577000,160.939000
6413209.392000,4969849.237000,160.898000
6413209.792000,4969851.183000,159.584000
6413198.354000,4969851.721000,160.728000
6413197.065000,4969849.552000,159.727000
6413197.149000,4969852.782000,159.561000
6413195.461000,4969849.864000,159.843000
6413193.713000,4969851.678000,160.720000
6413178.861000,4969856.890000,161.200000
6413178.994000,4969858.401000,161.250000
6413178.450000,4969859.772000,160.340000
6413176.536000,4969855.578000,160.049000
6413164.944000,4969861.618000,161.414000
6413164.216000,4969864.914000,160.274000
6413147.069000,4969867.446000,161.300000
6413147.296000,4969868.562000,161.345000
6413146.561000,4969870.325000,160.317000
6413128.392000,4969869.596000,160.416000
6413127.690000,4969871.046000,161.249000
6413117.082000,4969873.694000,161.280000
6413117.193000,4969876.530000,159.408000
6413101.495000,4969879.633000,159.493000
6413101.325000,4969876.925000,160.874000
6413101.667000,4969877.526000,160.994000
6413098.726000,4969876.751000,160.096000
6413099.956000,4969880.340000,159.423000
6413097.726000,4969878.243000,160.915000
6413083.342000,4969882.616000,161.293000
6413082.407000,4969886.129000,159.571000
6413080.122000,4969882.033000,160.417000
6413061.666000,4969885.036000,161.149000
6413044.595000,4969886.212000,158.955000
6413027.644000,4969883.622000,160.674000
6413027.243000,4969882.446000,159.820000
6413027.195000,4969883.644000,160.546000
6413019.554000,4969885.502000,160.704000
6413019.675000,4969886.078000,160.746000
6413005.076000,4969889.029000,160.813000
6413004.579000,4969892.156000,159.265000
6413002.710000,4969892.159000,159.142000
6413000.664000,4969889.735000,160.854000
6413000.868000,4969890.592000,160.984000
6412987.002000,4969895.721000,159.598000
6412984.125000,4969890.978000,160.206000
6412965.906000,4969896.084000,161.111000
6412966.015000,4969898.497000,160.115000
6412956.664000,4969897.865000,161.273000
6412939.417000,4969901.297000,159.996000
6412938.038000,4969896.906000,160.416000
6412922.252000,4969899.807000,161.271000
6412922.408000,4969900.240000,161.249000
6412893.655000,4969902.760000,161.348000
6412893.912000,4969903.178000,161.363000
6412882.175000,4969904.298000,161.226000
6412880.446000,4969903.518000,160.455000
6412870.080000,4969906.568000,161.139000
6412824.533000,4969903.013000,161.143000
6412824.368000,4969900.197000,159.891000
6412826.334000,4969895.505000,161.222000
6412844.851000,4969893.524000,160.938000
6412845.377000,4969894.917000,160.207000
6412867.672000,4969890.243000,160.216000
6412886.862000,4969886.578000,160.119000
6412886.493000,4969885.745000,160.094000
6412909.299000,4969883.681000,160.732000
6412940.237000,4969877.954000,160.370000
6412939.539000,4969876.632000,159.782000
6412939.434000,4969875.687000,159.644000
6412960.872000,4969873.504000,160.366000
6412961.355000,4969872.011000,159.580000
6412989.717000,4969865.413000,159.530000
6413025.376000,4969856.068000,159.544000
6413051.581000,4969852.243000,159.415000
6413077.048000,4969849.939000,159.434000
6413106.199000,4969850.533000,160.582000
6413107.278000,4969848.703000,159.743000
6413153.465000,4969842.079000,160.631000
6413173.900000,4969835.279000,160.239000
6413173.885000,4969834.724000,160.174000
6413196.389000,4969829.128000,160.417000
6413207.877000,4969818.591000,161.040000
6413223.385000,4969820.209000,160.184000
6413242.369000,4969811.239000,161.079000
6413244.243000,4969815.408000,159.843000
6413264.225000,4969812.713000,159.910000
6413263.580000,4969806.519000,161.369000
6413273.282000,4969804.042000,161.537000
6413304.332000,4969802.647000,160.205000
6413299.847000,4969796.656000,161.809000
6413302.827000,4969787.217000,162.074000
6413295.541000,4969782.825000,161.786000
6413280.976000,4969795.054000,161.637000
6413297.672000,4969780.864000,160.969000
6412775.204000,4969956.653000,159.807000
6412822.231000,4969925.937000,160.679000
6412836.619000,4969923.865000,161.315000
6412847.183000,4969926.719000,159.725000
6412855.389000,4969922.418000,160.170000
6412865.910000,4969926.741000,160.372000
6412879.240000,4969926.900000,159.690000
6412879.247000,4969927.846000,159.706000
6412889.505000,4969929.084000,157.878000
6412887.808000,4969932.574000,157.569000
